Account: Account name,Campaign: Campaign name,Campaign: Campaign Id,Report: Date,Cost: Amount spend,Performance: Clicks,Cost: CPC,Clicks: CTR,Performance: Impressions,Conversions: All conversions,Conversions: Conversions,Cost: Cost per conversion,Campaign: Campaign status,Campaign: Start date,Campaign: End date,Campaign: Advertising channel type,Campaign: Tracking URL template,Campaign: Budget amount
Evolve Med Spa,[SB] - Search - Branded,21270220547,2025-01-01,18.77,72,0.26069444,0.3956044,182,0.068544,0.068544,273.8387022,ENABLED,2024-05-07,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,150
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2026-05-20,312.40723,84,3.71913369,0.03921569,2142,10.220166,1.220166,256.0366622,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,500
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2026-05-21,332.997325,90,3.69997028,0.04032258,2232,4.014268,3.014268,110.4736954,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,500
Evolve Med Spa,[SB] - Search - NB - Injectables,23010315749,2026-05-22,294.10855,105,2.80103381,0.05617978,1869,7.973263,2.973263,98.91777149,ENABLED,2025-09-11,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,500
Evolve Med Spa,[SB] - Search - Branded,21270220547,2025-01-21,954.725563,180,5.30403091,0.14705882,1224,27.51602,14.51602,65.77047724,ENABLED,2024-05-07,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,150
Evolve Med Spa,[SB] - PMax - Branded,22100524284,2025-01-20,493.640649,162,3.0471645,0.0306644,5283,6.334947,4.334947,113.8746677,ENABLED,2025-01-08,2037-12-30,PERFORMANCE_MAX,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,100
Evolve Med Spa,[SB] - Search - NB - Consolidated,22883593175,2025-12-08,434.706965,172,2.52736608,0.07481514,2299,0,0,,ENABLED,2025-08-08,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,375
Evolve Med Spa,[SB] - Search - NB - Consolidated,22883593175,2025-12-09,457.81287,185,2.47466416,0.0837483,2209,4.970191,3.970191,115.3125555,ENABLED,2025-08-08,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,375
Evolve Med Spa,[SB] - Search - NB - Consolidated,22883593175,2025-12-10,464.678749,136,3.41675551,0.07013925,1939,4,3,154.8929163,ENABLED,2025-08-08,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,375
Evolve Med Spa,[SB] - Search - NB - Consolidated,22883593175,2025-12-11,442.856265,131,3.38058218,0.06424718,2039,1.9952,1.9952,221.9608385,ENABLED,2025-08-08,2037-12-30,SEARCH,{lpurl}?utm_source=googledirect&utm_medium=paid&utm_campaign={campaignid}&utm_adgroup={adgroupid}&utm_term={keyword}&utm_content=medspa,375
