"Center Name","Unique Guest count","New Guest Count","New Guest %","Invoice Count","Online invoice count","Online invoice %","Rebooking Source Count","Rebooking Source %","Services with provider requests","Services with provider requests %","Service Sales Count","Service Sales","Average service sale per invoice","Service Sales Invoice Count","Product Sales Count","Product Sales","Average product sale per invoice","Product Sales Invoice Count","Package Sales Count","Package Sales","Average package sale per invoice","Package Sales Invoice Count","Membership Sales Count","Membership Sales","Average membership sale per invoice","Membership Sales Invoice Count","Gift Card Sales Count","Gift Card Sales","Prepaid Card Sales Count","Prepaid Card Sales","Total Sales","Sale Count","Refund Amount","Refund Quantity","Open Invoices Count","Closed Invoices Count","Center Utilization(By Employee)","Available Hours","Available hours (Providers)","Serviced Hours","Booked Hours","Blocked Hours","Gift card redeemed","Gift card redeemed (cross center)","Package redeemed","Package redeemed (cross center)","Membership redeemed","Membership redeemed (cross center)","Discount","Gift card online sales","Gift card in-store sales","No-show fees","Cancellation fees"
"Warehouse Center","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Waldorf, MD","5","2","40.0000","6","3","50.0000","3","60.0000","4","44.4400","28","1419.3000","283.8600","5","0","0.0000","0.0000","0","0","0.0000","0.0000","0","1","125.0000","125.0000","1","0","0.0000","0","0.0000","1544.3","29","0","0","0","6","29.1700","16:00","16:00","4:40","4:40","0:45","0","0","0","0","0","0","109.7000","0.0000","0.0000","0.0000","0.0000"
"Tribeca, NY","10","3","30.0000","17","4","23.5300","5","50.0000","1","5.5600","91","2831.8200","235.9800","12","0","0.0000","0.0000","0","3","2418.0000","806.0000","3","0","0.0000","0.0000","0","0","0.0000","2","868.0000","6117.82","96","418","1","4","13","31.5300","18:30","18:30","5:50","5:50","1:00","0","0","1800","0","0","0","995.0000","0.0000","0.0000","0.0000","50.0000"
"Staten Island, NY","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Short Hills, NJ","9","1","11.1100","15","2","13.3300","3","50.0000","6","54.5500","10","737.0000","105.2900","7","0","0.0000","0.0000","0","3","700.0000","233.3300","3","5","579.0000","115.8000","5","0","0.0000","1","175.0000","2191","19","50","1","0","15","22.2200","24:00","24:00","5:20","5:20","4:15","0","0","250","0","238","99","267.0000","0.0000","0.0000","0.0000","0.0000"
"Ridgewood, NJ","18","3","16.6700","32","10","31.2500","10","55.5600","7","26.9200","197","3678.3800","175.1600","21","0","0.0000","0.0000","0","-1","-75.0000","-75.0000","1","10","1392.0000","139.2000","10","0","0.0000","1","75.0000","5070.38","207","75","1","3","29","34.6800","31:00","31:00","10:45","10:45","1:45","50","0","125","0","1463","375","358.1000","0.0000","0.0000","50.0000","0.0000"
"Red Bank, NJ","23","5","21.7400","29","12","41.3800","3","13.0400","15","35.7100","608","5613.0900","224.5200","25","0","0.0000","0.0000","0","0","0.0000","0.0000","0","4","514.0000","128.5000","4","0","0.0000","1","4.0000","6131.09","613","0","0","0","29","59.9200","21:00","21:00","12:35","12:35","1:30","300","0","200","0","0","0","1682.5400","0.0000","0.0000","0.0000","0.0000"
"Pikesville, MD","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
"Old Bridge, NJ","15","4","26.6700","21","8","38.1000","4","25.0000","7","25.9300","168","4314.1000","239.6700","18","6","422.1500","105.5400","4","0","0.0000","0.0000","0","4","316.0000","79.0000","4","2","0.0000","0","0.0000","5052.25","180","0","0","1","20","51.7400","24:00","24:00","12:25","12:25","3:50","125","0","838","0","139","0","691.0000","0.0000","0.0000","0.0000","50.0000"
"Montvale, NJ","0","0","0.0000","0","0","0.0000","0","0.0000","0","0.0000","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0.0000","0","0","0.0000","0","0.0000","0","0","0","0","0","0","0.0000","0:00","0:00","0:00","0:00","0:00","0","0","0","0","0","0","0.0000","0.0000","0.0000","0.0000","0.0000"
